site_id,ipv4
CLFAY00008A,10.96.89.163
CLFAY00012A,10.112.15.204
CLFAY00019A,10.112.15.205
CLFAY00021A,10.96.89.85
CLFAY00032A,10.96.89.203
CLFAY00040A,10.96.89.83
CLFAY00041A,10.96.89.150
CLFAY00043A,10.96.89.92
CLFAY00048A,10.96.89.141
CLFAY00049A,10.96.89.143
CLFAY00051A,10.112.15.228
CLFAY00053A,10.96.89.220
CLFAY00060A,10.96.89.155
CLFAY00066A,10.96.89.229
CLFAY00075A,10.112.15.206
CLFAY00079A,10.112.15.207
CLFAY00084A,10.96.89.228
CLFAY00092A,10.96.89.224
CLFAY00105A,10.96.89.199
CLFAY00108A,10.112.15.208
CLFAY00109A,10.96.89.185
CLFAY00110A,10.96.89.140
CLFAY00114A,10.112.15.210
CLFAY00115A,10.96.89.172
CLFAY00116A,10.96.89.175
CLFAY00118A,10.96.89.42
CLFAY00122A,10.112.15.201
CLFAY00123A,10.96.89.170
CLFAY00125A,10.96.89.142
CLFAY00126A,10.112.15.209
CLFAY00128A,10.96.89.227
CLFAY00129A,10.112.15.211
CLFAY00132A,10.112.15.212
CLFAY00133A,10.112.15.217
CLFAY00138A,10.112.15.220
CLFAY00140A,10.112.15.215
CLFAY00143A,10.96.89.223
CLFAY00144A,10.96.89.101
CLFAY00145A,10.96.89.210
CLFAY00147A,10.112.15.214
CLFAY00148A,10.112.15.213
CLFAY00150A,10.96.89.108
CLFAY00154A,10.96.89.190
CLFAY00155A,10.96.89.129
CLFAY00158A,10.112.15.216
CLFAY00159A,10.112.15.218
CLFAY00160A,10.96.89.217
CLFAY00163A,10.96.89.216
CLFAY00164A,10.112.15.222
CLFAY00167A,10.112.15.219
CLFAY00168A,10.112.15.224
CLFAY00172A,10.96.89.240
CLFAY00173A,10.112.15.225
CLFAY00173A,10.96.89.48
CLFAY00174A,10.96.89.60
CLFAY00176A,10.96.89.154
CLFAY00177A,10.96.89.145
CLFAY00180A,10.96.89.204
CLFAY00182A,10.112.15.223
CLFAY00183A,10.96.89.113
CLFAY00184A,10.96.89.205
CLFAY00187A,10.112.15.221
CLFAY00195A,10.96.89.195
CLFAY00196A,10.96.89.241
CLFAY00204A,10.96.89.100
CLFAY00207A,10.96.89.8
CLFAY00209A,10.96.89.243
CLFAY00210A,10.96.89.149
CLFAY00216A,10.112.15.202
CLFAY00220A,10.96.89.122
CLFAY00223A,10.112.15.253
CLFAY00226A,10.112.15.226
CLFAY00228A,10.112.15.237
CLFAY00229A,10.96.89.206
CLFAY00231A,10.112.15.230
CLFAY00233A,10.96.89.176
CLFAY00235A,10.96.89.115
CLFAY00241A,10.96.89.109
CLFAY00246A,10.112.15.227
CLFAY00247A,10.96.89.123
CLFAY00248A,10.96.89.28
CLFAY00250A,10.112.15.231
CLFAY00254A,10.96.89.213
CLFAY00260A,10.96.89.249
CLFAY00265A,10.112.15.229
CLFAY00266A,10.96.89.125
CLFAY00267A,10.96.89.86
CLFAY00273A,10.96.89.198
CLFAY00277A,10.96.89.207
CLFAY00278A,10.112.15.232
CLFAY00283A,10.96.89.87
CLFAY00287A,10.96.89.246
CLFAY00288A,10.96.89.7
CLFAY00293A,10.96.89.71
CLFAY00298A,10.96.89.171
CLFAY00340A,10.96.89.9
CLFAY00342A,10.96.89.36
CLFAY00348A,10.96.89.212
CLFAY00349A,10.96.89.144
CLFAY00354A,10.112.15.234
CLFAY00355A,10.96.89.219
CLFAY00356A,10.112.15.242
CLFAY00378A,10.96.89.61
CLFAY00379A,10.96.89.181
CLFAY00381A,10.96.89.130
CLFAY00389A,10.96.89.157
CLFAY00412A,10.96.89.62
CLFAY00414A,10.96.89.39
CLFAY00420A,10.96.89.6
CLFAY00432A,10.112.15.134
CLFAY00433A,10.112.15.233
CLFAY00434A,10.96.89.5
CLFAY00436A,10.112.15.243
CLFAY00443A,10.112.15.235
CLFAY00445A,10.96.89.201
CLFAY00447A,10.96.89.186
CLFAY00448A,10.96.89.147
CLFAY00449A,10.96.89.77
CLFAY00450A,10.96.89.215
CLFAY00467A,10.96.89.221
CLFAY00469A,10.96.89.197
CLFAY00471A,10.96.89.146
CLFAY00479A,10.96.89.74
CLFAY00499A,10.96.89.164
CLFAY00517A,10.96.89.200
CLFAY00527A,10.96.89.63
CLFAY00529A,10.96.89.68
CLFAY00530A,10.96.89.31
CLFAY00578A,10.96.89.21
CLFAY00583A,10.96.89.179
CLFAY00584A,10.96.89.84
CLFAY00585A,10.96.89.64
CLFAY00586A,10.96.89.193
CLFAY00587A,10.96.89.156
CLFAY00592A,10.96.89.65
CLGSP00001A,10.38.95.85
CLGSP00004A,10.97.36.60
CLGSP00005A,10.147.81.213
CLGSP00007A,10.147.80.206
CLGSP00008A,10.147.82.67
CLGSP00009A,10.147.83.206
CLGSP00010A,10.147.83.181
CLGSP00011A,10.147.82.66
CLGSP00012A,10.147.82.62
CLGSP00015A,10.147.81.192
CLGSP00016A,10.38.95.87
CLGSP00017A,10.147.81.193
CLGSP00020A,10.38.95.88
CLGSP00021A,10.147.83.193
CLGSP00022A,10.38.95.89
CLGSP00024A,10.38.95.90
CLGSP00025A,10.38.95.86
CLGSP00026A,10.147.80.102
CLGSP00027A,10.147.81.220
CLGSP00028A,10.147.81.195
CLGSP00029A,10.147.81.196
CLGSP00030A,10.147.82.65
CLGSP00032A,10.38.95.91
CLGSP00034A,10.147.81.221
CLGSP00035A,10.97.36.95
CLGSP00036A,10.97.36.101
CLGSP00037A,10.147.81.197
CLGSP00039A,10.97.36.37
CLGSP00041A,10.147.81.198
CLGSP00042A,10.147.82.63
CLGSP00043A,10.97.36.41
CLGSP00046A,10.147.82.60
CLGSP00047A,10.147.82.59
CLGSP00048A,10.147.81.222
CLGSP00049A,10.147.82.64
CLGSP00050A,10.147.82.58
CLGSP00051A,10.147.81.200
CLGSP00055A,10.97.36.219
CLGSP00056A,10.147.83.182
CLGSP00057A,10.147.83.111
CLGSP00059A,10.147.80.110
CLGSP00060A,10.147.83.131
CLGSP00062A,10.147.81.201
CLGSP00063A,10.147.83.236
CLGSP00066A,10.147.83.112
CLGSP00067A,10.147.83.113
CLGSP00068A,10.38.95.92
CLGSP00071A,10.147.83.183
CLGSP00072A,10.38.95.93
CLGSP00074A,10.147.82.57
CLGSP00075A,10.147.81.223
CLGSP00076A,10.147.82.56
CLGSP00077A,10.147.80.202
CLGSP00079A,10.147.82.55
CLGSP00080A,10.147.82.54
CLGSP00081A,10.147.82.53
CLGSP00082A,10.38.95.104
CLGSP00085A,10.97.36.115
CLGSP00086A,10.147.81.199
CLGSP00087A,10.147.81.202
CLGSP00088A,10.38.95.106
CLGSP00089A,10.38.95.108
CLGSP00090A,10.38.95.110
CLGSP00091A,10.147.81.203
CLGSP00092A,10.38.95.112
CLGSP00093A,10.147.81.204
CLGSP00095A,10.147.82.51
CLGSP00096A,10.147.82.50
CLGSP00098A,10.147.82.49
CLGSP00099A,10.147.80.117
CLGSP00100A,10.147.82.48
CLGSP00101A,10.147.82.47
CLGSP00102A,10.147.82.46
CLGSP00103A,10.38.95.114
CLGSP00104A,10.147.82.45
CLGSP00105A,10.147.82.44
CLGSP00107A,10.147.82.42
CLGSP00108A,10.147.82.41
CLGSP00111A,10.147.82.40
CLGSP00112A,10.147.82.39
CLGSP00113A,10.147.82.38
CLGSP00114A,10.147.80.118
CLGSP00116A,10.147.82.37
CLGSP00118A,10.147.80.119
CLGSP00119A,10.147.81.224
CLGSP00122A,10.38.95.116
CLGSP00123A,10.147.82.36
CLGSP00124A,10.147.82.35
CLGSP00129A,10.147.80.200
CLGSP00130A,10.147.81.205
CLGSP00133A,10.147.82.34
CLGSP00136A,10.147.80.105
CLGSP00137A,10.147.82.33
CLGSP00139A,10.147.82.32
CLGSP00140A,10.147.81.206
CLGSP00143A,10.147.82.31
CLGSP00147A,10.147.82.30
CLGSP00148A,10.147.82.29
CLGSP00149A,10.147.82.28
CLGSP00150A,10.147.81.207
CLGSP00151A,10.147.81.208
CLGSP00152A,10.147.82.27
CLGSP00157A,10.147.82.24
CLGSP00158A,10.147.80.120
CLGSP00164A,10.38.95.118
CLGSP00167A,10.147.82.20
CLGSP00170A,10.147.82.19
CLGSP00172A,10.38.95.120
CLGSP00173A,10.147.82.18
CLGSP00175A,10.38.95.121
CLGSP00182A,10.38.95.122
CLGSP00183A,10.147.80.199
CLGSP00184A,10.38.95.123
CLGSP00185A,10.147.82.16
CLGSP00187A,10.147.82.15
CLGSP00188A,10.147.82.14
CLGSP00190A,10.147.82.13
CLGSP00191A,10.147.81.225
CLGSP00194A,10.38.95.124
CLGSP00197A,10.147.82.12
CLGSP00200A,10.147.80.198
CLGSP00202A,10.147.82.11
CLGSP00204A,10.147.81.226
CLGSP00206A,10.147.82.9
CLGSP00207A,10.147.82.8
CLGSP00208A,10.147.82.7
CLGSP00209A,10.147.82.6
CLGSP00212A,10.38.95.125
CLGSP00213A,10.147.82.5
CLGSP00214A,10.147.82.4
CLGSP00215A,10.147.82.3
CLGSP00216A,10.147.82.2
CLGSP00217A,10.97.36.177
CLGSP00218A,10.147.83.132
CLGSP00219A,10.147.81.209
CLGSP00221A,10.147.81.227
CLGSP00222A,10.38.95.126
CLGSP00226A,10.147.83.247
CLGSP00228A,10.147.83.106
CLGSP00229A,10.147.81.228
CLGSP00230A,10.147.81.214
CLGSP00231A,10.97.36.138
CLGSP00232A,10.147.81.215
CLGSP00233A,10.38.95.127
CLGSP00234A,10.147.83.133
CLGSP00235A,10.147.83.136
CLGSP00236A,10.38.95.129
CLGSP00238A,10.147.83.208
CLGSP00240A,10.147.83.87
CLGSP00242A,10.147.83.91
CLGSP00244A,10.38.95.130
CLGSP00245A,10.147.83.184
CLGSP00246A,10.147.83.92
CLGSP00247A,10.147.81.216
CLGSP00248A,10.97.37.19
CLGSP00249A,10.147.82.172
CLGSP00251A,10.97.36.13
CLGSP00252A,10.147.83.107
CLGSP00253A,10.147.83.141
CLGSP00255A,10.147.81.210
CLGSP00256A,10.97.37.42
CLGSP00257A,10.147.80.197
CLGSP00258A,10.97.37.41
CLGSP00259A,10.147.83.12
CLGSP00260A,10.38.95.131
CLGSP00261A,10.147.80.205
CLGSP00264A,10.147.83.88
CLGSP00265A,10.147.83.140
CLGSP00266A,10.97.36.107
CLGSP00268A,10.97.36.139
CLGSP00269A,10.97.36.249
CLGSP00270A,10.97.36.174
CLGSP00271A,10.147.82.110
CLGSP00273A,10.97.36.193
CLGSP00274A,10.97.36.61
CLGSP00275A,10.38.95.132
CLGSP00276A,10.97.36.96
CLGSP00277A,10.147.82.239
CLGSP00279A,10.97.37.36
CLGSP00286A,10.147.80.103
CLGSP00289A,10.38.95.133
CLGSP00290A,10.38.95.134
CLGSP00291A,10.147.80.204
CLGSP00292A,10.38.95.135
CLGSP00293A,10.97.37.16
CLGSP00295A,10.38.95.136
CLGSP00296A,10.147.81.229
CLGSP00298A,10.38.95.137
CLGSP00299A,10.147.83.185
CLGSP00300A,10.147.83.90
CLGSP00301A,10.147.83.114
CLGSP00302A,10.147.81.211
CLGSP00304A,10.97.36.127
CLGSP00305A,10.97.36.252
CLGSP00306A,10.38.95.138
CLGSP00307A,10.38.95.139
CLGSP00308A,10.147.80.203
CLGSP00309A,10.36.15.169
CLGSP00310A,10.147.80.104
CLGSP00311A,10.97.36.206
CLGSP00312A,10.147.81.230
CLGSP00313A,10.147.81.231
CLGSP00314A,10.38.95.140
CLGSP00315A,10.38.95.141
CLGSP00316A,10.97.36.240
CLGSP00317A,10.38.95.142
CLGSP00320A,10.147.80.201
CLGSP00321A,10.97.36.201
CLGSP00324A,10.147.82.1
